doc_id,title,abstract,clean_abstract,year,doi,source,authors,keywords,journal,language,top_terms_no_stopwords
74e4bbf12f47,"Atmos. Chem. Phys., 12, 3659–3675, 2012www.atmos-chem-phys.net/12/3659/2012/doi:10.5194/acp-12-3659-2012© Author(s) 2012. CC Attribution 3.0 License.",". The relatively warm 2009–2010 Arctic winter was an exceptional one as the North Atlantic Oscillation index attained persistent extreme negative values. Here, selected aspects of the Arctic stratosphere during this winter inspired by the analysis of the international ﬁeld experiment REC- ONCILE are presented. First of all, and as a kind of refer- ence, the evolution of the polar vortex in its different phases is documented. Special emphasis is put on explaining the for- mation of the exceptionally cold vortex in mid winter after a sequence of stratospheric disturbances which were caused by upward propagating planetary waves. A major sudden strato- spheric warming (SSW) occurring near the end of January 2010 concluded the anomalous cold vortex period. Wave ice polar stratospheric clouds were frequently observed by spaceborne remote-sensing instruments over the Arctic dur- ing the cold period in January 2010. Here, one such case observed over Greenland is analysed in more detail and an attempt is made to correlate ﬂow information of an opera- tional numerical weather prediction model to the magnitude of the mountain-wave induced temperature ﬂuctuations. Fi- nally, it is shown that the forecasts of the ECMWF ensemble prediction system for the onset of the major SSW were very skilful and the ensemble spread was very small. However, the ensemble spread increased dramatically after the major SSW, displaying the strong non-linearity and internal vari- ability involved in the SSW event.",". The relatively warm 2009–2010 Arctic winter was an exceptional one as the North Atlantic Oscillation index attained persistent extreme negative values. Here, selected aspects of the Arctic stratosphere during this winter inspired by the analysis of the international ﬁeld experiment REC- ONCILE are presented. First of all, and as a kind of refer- ence, the evolution of the polar vortex in its different phases is documented. Special emphasis is put on explaining the for- mation of the exceptionally cold vortex in mid winter after a sequence of stratospheric disturbances which were caused by upward propagating planetary waves. A major sudden strato- spheric warming (SSW) occurring near the end of January 2010 concluded the anomalous cold vortex period. Wave ice polar stratospheric clouds were frequently observed by spaceborne remote-sensing instruments over the Arctic dur- ing the cold period in January 2010. Here, one such case observed over Greenland is analysed in more detail and an attempt is made to correlate ﬂow information of an opera- tional numerical weather prediction model to the magnitude of the mountain-wave induced temperature ﬂuctuations. Fi- nally, it is shown that the forecasts of the ECMWF ensemble prediction system for the onset of the major SSW were very skilful and the ensemble spread was very small. However, the ensemble spread increased dramatically after the major SSW, displaying the strong non-linearity and internal vari- ability involved in the SSW event.",2012,10.5194/acp-12-3659-2012,rclone_drive,www.atmos-chem-phys.net/12/3659/2012/ © Author(s) 2012. CC Attribution 3.0 License.,,Atmospheric Chemistry and Physics The,en,stratospheric; temperature; january; wave; winter; polar; vortex; mean; atmos; period; arctic; phys
184c3d5af70b,*Corresponding Author: ageymen@erciyes.edu.tr,"The population in Istanbul has been increasing as a result of mass immigration. An urbanization process continues and it causes serious increases in urban areas while decreasing the amount of natural environment. This uncontrolled and illegal urbanization accompanied by insufficient infrastructure has caused degradation of cropland and forested areas in the metropolitan area, especially in water basin area. The watershed basins inside the metropolitan area have accelerated the land-cover changes, which have negative impacts on water quality of the basins. The Terkos water basin, one of the seven water basins of Istanbul providing drinking water, was selected as a study area. In order to understand the effect of the land use change of the water basin in Istanbul Metropolitan Area, we used the three Landsat satellite images of the years 1995, 2005 and 2010. The study mainly focuses on the acquisition and analysis of Landsat TM satellite images reflecting the significant land-cover changes between the years of 1995 and 2010. The findings show that the settlement areas emerged mainly on the protection zones of the Terkos basin and created serious environmental problems. The land use change will effect precipitation change on direct surface runoff in water basin.","The population in Istanbul has been increasing as a result of mass immigration. An urbanization process continues and it causes serious increases in urban areas while decreasing the amount of natural environment. This uncontrolled and illegal urbanization accompanied by insufficient infrastructure has caused degradation of cropland and forested areas in the metropolitan area, especially in water basin area. The watershed basins inside the metropolitan area have accelerated the land-cover changes, which have negative impacts on water quality of the basins. The Terkos water basin, one of the seven water basins of Istanbul providing drinking water, was selected as a study area. In order to understand the effect of the land use change of the water basin in Istanbul Metropolitan Area, we used the three Landsat satellite images of the years 1995, 2005 and 2010. The study mainly focuses on the acquisition and analysis of Landsat TM satellite images reflecting the significant land-cover changes between the years of 1995 and 2010. The findings show that the settlement areas emerged mainly on the protection zones of the Terkos basin and created serious environmental problems. The land use change will effect precipitation change on direct surface runoff in water basin.",2016,10.18038/btda.84861,rclone_drive,Anadolu Üniversitesi Bilim ve Teknoloji Dergisi A- Uygulamalı Bilimler ve Mühendislik Page: 484 - 496,Geographical information system; Remote sensing; Urbanization; Water basin,significant land-cover changes between the years of 1995 and,en,land; area; forest; water; basin; scrub; brush; built; terkos; change; istanbul; evergreen
aa550e538cfc,3D Geographic Network Displays,"Many types of information may be represented as graphs or networks with the nodes corresponding to entities and the links to relationships between enti- ties. Often there is geographical information associ- ated with the network. The traditional way to visual- ize geographic networks employs node and link displays on a two-dimensional map. These displays are easily overwhelmed, and for large networks become visually cluttered and confusing. To overcome these problems we have invented five novel network views that general- ize the traditional displays. Two of the views show the complete network, while the other three concentrate on a portion of a larger network defined by connectivity to a given node. Our new visual metaphors retain many of the well-known advantages of the traditional network maps, while exploiting three-dimensional graphics to address some of the fundamental problems limiting the scalability of two-dimensional displays.","Many types of information may be represented as graphs or networks with the nodes corresponding to entities and the links to relationships between enti- ties. Often there is geographical information associ- ated with the network. The traditional way to visual- ize geographic networks employs node and link displays on a two-dimensional map. These displays are easily overwhelmed, and for large networks become visually cluttered and confusing. To overcome these problems we have invented five novel network views that general- ize the traditional displays. Two of the views show the complete network, while the other three concentrate on a portion of a larger network defined by connectivity to a given node. Our new visual metaphors retain many of the well-known advantages of the traditional network maps, while exploiting three-dimensional graphics to address some of the fundamental problems limiting the scalability of two-dimensional displays.",1996,,rclone_drive,"Kenneth C. Cox, Stephen G. Eick~ Taosong He Bell Laboratories",,SIGMOD Rec. 1996.25:50-54,en,network; nodes; display; displays; networks; information; view; data; node; visualization; geographic; links
1bdd60d27e1d,"CLIMATE RESEARCHClim ResVol. 52: 97–113, 2012doi: 10.3354/cr01039Published March 22","We used the Regional Circulation Model (RegCM) to investigate the direct effect of dust aerosol on climate over West Africa, with a specific focus on the Sahel region. First, we char- acterized the mechanisms linking dust radiative forcing and convective activity over Sahel and the net impact of dust on precipitation: The mean effect of dust over 11 summer seasons is to reduce precipitation over most of the Sahel region as a result of strong surface cooling and elevated dia- batic warming inhibiting convection. However, on the very northern Sahel and in the vicinity of dust sources, a relative increase of precipitation is obtained as a result of enhanced diabatic warm- ing in the lower atmosphere associated with high dust concentrations at low altitude. In the sec- ond part of the paper, we investigated the robustness of this signal with regards to different mod- eling conditions that are thought to be sensitive, namely the extension of the domain, the effect of dust on sea surface temperature, the land surface scheme, the convective scheme and the dust sin- gle scattering albedo. The simulated dust induced precipitation anomaly over West Africa is con- sistent and robust in these tests, but significant variations over the northern Sahel region are nev- ertheless pointed out. Among different factors, single scattering and surface albedo, as well as the nature of the convective scheme, have the greatest influence on the simulated response of West African climate to dust forcing. KEY WORDS: Dust · Aerosol · Sahel · West Africa · Regional climate · Radiative effect · Single scattering albedo · Convection Resale or republication not permitted without written consent of the publisher OPEN PEN ACCESS CCESS Contribution to CR Special ‘The regional climate model RegCM4’ Clim Res 52: 97–113, 2012 Fewer studies have used regional climate models (RCMs), which offer the advantages of an enhanced resolution for dust emission and transport processes, land surface gradients and weather system, but with the caveat of not capturing the full picture of dust induced anomalies. As an illustration, Sud et al. (2009) carried out a set of GCM numerical experi- ments in which they criticized any RCM approach to study aerosol climatic feedbacks because of forced boundary conditions. In this context, we propose a study in which we are using the RegCM regional climate model to investi- gate the effect of dust on WAM and Sahelian precip- itation. Extending the previous study of S","We used the Regional Circulation Model (RegCM) to investigate the direct effect of dust aerosol on climate over West Africa, with a specific focus on the Sahel region. First, we char- acterized the mechanisms linking dust radiative forcing and convective activity over Sahel and the net impact of dust on precipitation: The mean effect of dust over 11 summer seasons is to reduce precipitation over most of the Sahel region as a result of strong surface cooling and elevated dia- batic warming inhibiting convection. However, on the very northern Sahel and in the vicinity of dust sources, a relative increase of precipitation is obtained as a result of enhanced diabatic warm- ing in the lower atmosphere associated with high dust concentrations at low altitude. In the sec- ond part of the paper, we investigated the robustness of this signal with regards to different mod- eling conditions that are thought to be sensitive, namely the extension of the domain, the effect of dust on sea surface temperature, the land surface scheme, the convective scheme and the dust sin- gle scattering albedo. The simulated dust induced precipitation anomaly over West Africa is con- sistent and robust in these tests, but significant variations over the northern Sahel region are nev- ertheless pointed out. Among different factors, single scattering and surface albedo, as well as the nature of the convective scheme, have the greatest influence on the simulated response of West African climate to dust forcing. KEY WORDS: Dust · Aerosol · Sahel · West Africa · Regional climate · Radiative effect · Single scattering albedo · Convection Resale or republication not permitted without written consent of the publisher OPEN PEN ACCESS CCESS Contribution to CR Special ‘The regional climate model RegCM4’ Clim Res 52: 97–113, 2012 Fewer studies have used regional climate models (RCMs), which offer the advantages of an enhanced resolution for dust emission and transport processes, land surface gradients and weather system, but with the caveat of not capturing the full picture of dust induced anomalies. As an illustration, Sud et al. (2009) carried out a set of GCM numerical experi- ments in which they criticized any RCM approach to study aerosol climatic feedbacks because of forced boundary conditions. In this context, we propose a study in which we are using the RegCM regional climate model to investi- gate the effect of dust on WAM and Sahelian precip- itation. Extending the previous study of S",2012,10.3354/cr01039,rclone_drive,Inter-Research,Dust; Aerosol; Sahel; West Africa; Regional climate; Radiative effect; Single,Climate Research 52:97,en,dust; precipitation; surface; experiment; scheme; west; model; simulation; climate; anomaly; aerosol; regional
649b4b6b4333,REVIEWOpen Access,"of the various findings about the rise of the temperature in Western Himalayas Brohan et al. (2006), Diodato et al. (2012) Dash et al. (2007) Dimri and Dash (2012) Bhutiyani et al. (2007) 0.5 °C increase in the average maximum temperature (Tmax) during 1971–2005 compared to 1901–1960 Average increase of 0.9 °C in temperature during 1901–2003 Increase in maximum temperature between 1.1 and 2.5 °C Increase of temperature 0.16 °C per decade during the century Tewari et al. Forest Ecosystems (2017) 4:13 Page 2 of 9","of the various findings about the rise of the temperature in Western Himalayas Brohan et al. (2006), Diodato et al. (2012) Dash et al. (2007) Dimri and Dash (2012) Bhutiyani et al. (2007) 0.5 °C increase in the average maximum temperature (Tmax) during 1971–2005 compared to 1901–1960 Average increase of 0.9 °C in temperature during 1901–2003 Increase in maximum temperature between 1.1 and 2.5 °C Increase of temperature 0.16 °C per decade during the century Tewari et al. Forest Ecosystems (2017) 4:13 Page 2 of 9",2010,10.1186/s40663-017-0100-4,rclone_drive,Vindhya Prasad Tewari,Himalayan ecosystem; Climate change; New strategies; High altitude; New observational studies,"Forest Ecosystems, 2017, doi:10.1186/s40663-017-0100-4",en,climate; forest; change; himalayan; research; india; studies; himalayas; western; ecosystems; species; observational
db94e67c188f,"Atmos. Chem. Phys., 18, 9091–9106, 2018https://doi.org/10.5194/acp-18-9091-2018© Author(s) 2018. This work is distributed underthe Creative Commons Attribution 4.0 License.",". Excess deposition (including both wet and dry deposition) of nitrogen and sulfur is detrimental to ecosys- tems. Recent studies have investigated the spatial patterns and temporal trends of nitrogen and sulfur wet deposition, but few studies have focused on dry deposition due to the scarcity of dry deposition measurements. Here, we use long- term model simulations from the coupled Weather Research and Forecasting and the Community Multiscale Air Qual- ity (WRF-CMAQ) model covering the period from 1990 to 2010 to study changes in spatial distribution as well as tem- poral trends in total (TDEP), wet (WDEP), and dry depo- sition (DDEP) of total inorganic nitrogen (TIN) and sulfur (TS) in the United States (US). We ﬁrst evaluate the model’s performance in simulating WDEP over the US by comparing the model results with observational data from the US Na- tional Atmospheric Deposition Program. The coupled model generally underestimates the WDEP of both TIN (includ- ing both the oxidized nitrogen deposition, TNO3, and the reduced nitrogen deposition, NHx) and TS, with better per- formance in the eastern US than the western US. The un- derestimation of the wet deposition by the model is mainly caused by the coarse model grid resolution, missing light- ning NOx emissions, and the poor temporal and spatial rep- resentation of NH3 emissions. TDEP of both TIN and TS shows signiﬁcant decreases over the US, especially in the east, due to the large emission reductions that occurred in that region. The decreasing trends of TIN TDEP are caused by decreases in TNO3, and the increasing trends of TIN deposition over the Great Plains and Tropical Wet Forests (Southern Florida Coastal Plain) regions are caused by in- creases in NH3 emissions, although it should be noted that these increasing trends are not signiﬁcant. TIN WDEP shows decreasing trends throughout the US, except for the Marine West Coast Forest region. TIN DDEP shows signiﬁcant de- creasing trends in the Eastern Temperate Forests, Northern Forests, Mediterranean California, and Marine West Coast Forest and signiﬁcant increasing trends in the Tropical Wet Forests, Great Plains and Southern Semi-arid Highlands. For the other three regions (North American Deserts, Temperate Sierras, and Northwestern Forested Mountains), the decreas- ing or increasing trends are not signiﬁcant. Both the WDEP and DDEP of TS have decreases across the US, with a larger decreasing trend in the DDEP than that in the WDEP. Across the US during the 1990–2010 period, DDEP of TIN accounts for 58–65 % of TDEP of TIN. TDEP of TIN over the US is dominated by deposition of TNO3 during the ﬁrst decade, which then shifts to reduced nitrogen (NHx) dominance after 2003, resulting from a combination of NOx emission reduc- tions and NH3 emission increases. The sulfur DDEP is usu- ally higher than the sulfur WDEP until recent years, as the sulfur DDEP has a larger decreasing trend than WDEP. Published by Copernicus Publications on behalf of the European Geosciences Union. 9092 Y. Zhang et al.: Long-term trends in total inorganic nitrogen and sulfur deposition in the US",". Excess deposition (including both wet and dry deposition) of nitrogen and sulfur is detrimental to ecosys- tems. Recent studies have investigated the spatial patterns and temporal trends of nitrogen and sulfur wet deposition, but few studies have focused on dry deposition due to the scarcity of dry deposition measurements. Here, we use long- term model simulations from the coupled Weather Research and Forecasting and the Community Multiscale Air Qual- ity (WRF-CMAQ) model covering the period from 1990 to 2010 to study changes in spatial distribution as well as tem- poral trends in total (TDEP), wet (WDEP), and dry depo- sition (DDEP) of total inorganic nitrogen (TIN) and sulfur (TS) in the United States (US). We ﬁrst evaluate the model’s performance in simulating WDEP over the US by comparing the model results with observational data from the US Na- tional Atmospheric Deposition Program. The coupled model generally underestimates the WDEP of both TIN (includ- ing both the oxidized nitrogen deposition, TNO3, and the reduced nitrogen deposition, NHx) and TS, with better per- formance in the eastern US than the western US. The un- derestimation of the wet deposition by the model is mainly caused by the coarse model grid resolution, missing light- ning NOx emissions, and the poor temporal and spatial rep- resentation of NH3 emissions. TDEP of both TIN and TS shows signiﬁcant decreases over the US, especially in the east, due to the large emission reductions that occurred in that region. The decreasing trends of TIN TDEP are caused by decreases in TNO3, and the increasing trends of TIN deposition over the Great Plains and Tropical Wet Forests (Southern Florida Coastal Plain) regions are caused by in- creases in NH3 emissions, although it should be noted that these increasing trends are not signiﬁcant. TIN WDEP shows decreasing trends throughout the US, except for the Marine West Coast Forest region. TIN DDEP shows signiﬁcant de- creasing trends in the Eastern Temperate Forests, Northern Forests, Mediterranean California, and Marine West Coast Forest and signiﬁcant increasing trends in the Tropical Wet Forests, Great Plains and Southern Semi-arid Highlands. For the other three regions (North American Deserts, Temperate Sierras, and Northwestern Forested Mountains), the decreas- ing or increasing trends are not signiﬁcant. Both the WDEP and DDEP of TS have decreases across the US, with a larger decreasing trend in the DDEP than that in the WDEP. Across the US during the 1990–2010 period, DDEP of TIN accounts for 58–65 % of TDEP of TIN. TDEP of TIN over the US is dominated by deposition of TNO3 during the ﬁrst decade, which then shifts to reduced nitrogen (NHx) dominance after 2003, resulting from a combination of NOx emission reduc- tions and NH3 emission increases. The sulfur DDEP is usu- ally higher than the sulfur WDEP until recent years, as the sulfur DDEP has a larger decreasing trend than WDEP. Published by Copernicus Publications on behalf of the European Geosciences Union. 9092 Y. Zhang et al.: Long-term trends in total inorganic nitrogen and sulfur deposition in the US",2018,10.5194/acp-18-9091-2018,rclone_drive,© Author(s) 2018. This work is distributed under the Creative Commons Attribution 4.0 License.,,Long-term trends in total inorganic nitrogen and sulfur deposition in the US from,en,deposition; model; trends; nitrogen; wdep; atmos; tdep; chem; phys; sulfur; forests; total
4fe842080c56,"Remote Sens. 2015, 7, 9269-9291; doi:10.3390/rs70709269","HelioClim-3 (HC3) is a database providing time series of the surface downwelling solar irradiance that are computed from images of the Meteosat satellites. This paper presents the validation results of the hourly global horizontal irradiance (GHI) and direct normal irradiance (DNI), i.e., beam irradiance at normal incidence, of versions four and five of HC3 at seven Egyptian sites. The validation is performed for all-sky conditions, as well as cloud-free conditions. Both versions of HC3 provide similar OPEN ACCESS Remote Sens. 2015, 7 9270 performances whatever the conditions. Another comparison is made with the estimates provided by the McClear database that is restricted to cloud-free conditions. All databases capture well the temporal variability of the GHI in all conditions, McClear being superior for cloud-free cases. In cloud-free conditions for the GHI, the relative root mean square error (RMSE) are fairly similar, ranging from 6% to 15%; both HC3 databases exhibit a smaller bias than McClear. McClear offers an overall better performance for the cloud-free DNI estimates. For all-sky conditions, the relative RMSE for GHI ranges from 10% to 22%, except one station, while, for the DNI, the results are not so good for the two stations with DNI measurements.","HelioClim-3 (HC3) is a database providing time series of the surface downwelling solar irradiance that are computed from images of the Meteosat satellites. This paper presents the validation results of the hourly global horizontal irradiance (GHI) and direct normal irradiance (DNI), i.e., beam irradiance at normal incidence, of versions four and five of HC3 at seven Egyptian sites. The validation is performed for all-sky conditions, as well as cloud-free conditions. Both versions of HC3 provide similar OPEN ACCESS Remote Sens. 2015, 7 9270 performances whatever the conditions. Another comparison is made with the estimates provided by the McClear database that is restricted to cloud-free conditions. All databases capture well the temporal variability of the GHI in all conditions, McClear being superior for cloud-free cases. In cloud-free conditions for the GHI, the relative root mean square error (RMSE) are fairly similar, ranging from 6% to 15%; both HC3 databases exhibit a smaller bias than McClear. McClear offers an overall better performance for the cloud-free DNI estimates. For all-sky conditions, the relative RMSE for GHI ranges from 10% to 22%, except one station, while, for the DNI, the results are not so good for the two stations with DNI measurements.",2015,10.3390/rs70709269,rclone_drive,"Yehia Eissa , Mohamed Korany , Youva Aoun , Mohamed Boraiy , Magdy M. Abdel Wahab , Stephane C. Alfaro , Philippe Blanc , Mossad El-Metwally , Hosni Ghedira, Katja Hungershoefer, Lucien Wald",atmosphere; model; solar radiation; surface solar irradiance,"HelioClim-3 (HC3) is a database providing time series of the surface downwelling solar irradiance that are computed from images of the Meteosat satellites. This paper presents the validation results of the hourly global horizontal irradiance (GHI) and direct normal irradiance (DNI), i.e., beam irradiance at normal incidence, of versions four and five of HC3 at seven Egyptian sites. The validation is performed for all-sky conditions, as well as cloud-free conditions. Both versions of HC3 provide similar performances whatever the conditions. Another comparison is made with the estimates provided by the McClear database that is restricted to cloud-free conditions. All databases capture well the temporal variability of the GHI in all conditions, McClear being superior for cloud-free cases. In cloud-free conditions for the GHI, the relative root mean square error (RMSE) are fairly similar, ranging from 6% to 15%; both HC3 databases exhibit a smaller bias than McClear. McClear offers an overall better performance for the cloud-free DNI estimates. For all-sky conditions, the relative RMSE for GHI ranges from 10% to 22%, except one station, while, for the DNI, the results are not so good for the two stations with DNI measurements.",en,mcclear; cloud; solar; bias; estimates; free; conditions; stations; measurements; irradiance; station; remote
e5b9a5589902,U.S. Department of the InteriorU.S. Geological Survey,"Geological Survey Scientific Investigations Report 2022–5032 Prepared in cooperation with Yellowstone National Park, University of Utah, UNAVCO, University of Wyoming, Montana Bureau of Mines and Geology, Idaho Geological Survey, Wyoming State Geological Survey, and Montana State University Volcano and Earthquake Monitoring Plan for the Yellowstone Caldera System, 2022–2032 F a l l R i v er Tern Lake B e c h l e r Riv er Snak e R iv er YELLOWSTONE CALDERA IDAHO WYOMING MONTANA WYOMING 191 287 20 191 191 14 89 212 Hebgen Lake Madison Junction West Yellowstone Canyon Village Mount Washburn Lake Village Grant Village Fishing Bridge Northeast Entrance North Entrance West Entrance South Entrance Mud Volcano East Entrance Mary Bay Norris Geyser Basin Upper Geyser Basin Midway Geyser Basin Lower Geyser Basin Mammoth Hot Springs Roaring Mountain Horse Butte West Thumb Geyser Basin Gardiner Heart Lake Lewis Lake Shoshone Lake 110.5° 111° 45° 44.5° 44° 110° 0 0 5 10 10 MILES 20 KILOMETERS Yellowstone Lake MONTANA WYOMING IDAHO Map area Base from 30-meter National Elevation Dataset YELLOWSTONE NATIONAL PARK Ye llo wst one R ive r Solfatara Plateau Location map showing thermal areas (in red) and noteworthy geographic features in the Yellowstone National Park region.","Geological Survey Scientific Investigations Report 2022–5032 Prepared in cooperation with Yellowstone National Park, University of Utah, UNAVCO, University of Wyoming, Montana Bureau of Mines and Geology, Idaho Geological Survey, Wyoming State Geological Survey, and Montana State University Volcano and Earthquake Monitoring Plan for the Yellowstone Caldera System, 2022–2032 F a l l R i v er Tern Lake B e c h l e r Riv er Snak e R iv er YELLOWSTONE CALDERA IDAHO WYOMING MONTANA WYOMING 191 287 20 191 191 14 89 212 Hebgen Lake Madison Junction West Yellowstone Canyon Village Mount Washburn Lake Village Grant Village Fishing Bridge Northeast Entrance North Entrance West Entrance South Entrance Mud Volcano East Entrance Mary Bay Norris Geyser Basin Upper Geyser Basin Midway Geyser Basin Lower Geyser Basin Mammoth Hot Springs Roaring Mountain Horse Butte West Thumb Geyser Basin Gardiner Heart Lake Lewis Lake Shoshone Lake 110.5° 111° 45° 44.5° 44° 110° 0 0 5 10 10 MILES 20 KILOMETERS Yellowstone Lake MONTANA WYOMING IDAHO Map area Base from 30-meter National Elevation Dataset YELLOWSTONE NATIONAL PARK Ye llo wst one R ive r Solfatara Plateau Location map showing thermal areas (in red) and noteworthy geographic features in the Yellowstone National Park region.",2022,,rclone_drive,By the Yellowstone Volcano Observatory,,Scientific Investigations Report 2022–5032,en,yellowstone; monitoring; national; park; hydrothermal; geyser; thermal; volcano; lake; system; others; stations
6969f81bc780,"Atmos. Chem. Phys., 23, 15253–15267, 2023https://doi.org/10.5194/acp-23-15253-2023© Author(s) 2023. This work is distributed underthe Creative Commons Attribution 4.0 License.",". Ammonia (NH3) is an important air pollutant which, as a precursor of ﬁne particulate matter, raises public health concerns. This study analyzes 2.5 years of NH3 observations derived from ground-based (miniDOAS; differential optical absorption spectroscopy) and satellite (IASI; Infrared Atmospheric Sounding Interferometer) remote sensing instruments to quantify, for the ﬁrst time, temporal variabilities (from interan- nual to diurnal) in NH3 concentrations in Paris. The IASI and miniDOAS datasets are found to be in relatively good agreement (R>0.70) when atmo- spheric NH3 concentrations are high and driven by regional agricultural activities. Over the investigated pe- riod (January 2020–June 2022), NH3 average concentrations in Paris measured by the miniDOAS and IASI are 2.23 µg m−3 and 7.10×1015 molec. cm−2, respectively, which are lower than or equivalent to those documented in other urban areas. The seasonal and monthly variabilities in NH3 concentrations in Paris are driven by spo- radic agricultural emissions inﬂuenced by meteorological conditions, with NH3 concentrations in spring up to 2 times higher than in other seasons. The potential source contribution function (PSCF) reveals that the close (100–200 km) east and northeast regions of Paris constitute the most important potential emission source areas of NH3 in the megacity. Weekly cycles of NH3 derived from satellite and ground-based observations show different ammonia sources in Paris. In spring, agriculture has a major inﬂuence on ammonia concentrations, and, in the other seasons, multi-platform observations suggest that ammonia is also controlled by trafﬁc-related emissions. In Paris, the diurnal cycle of NH3 concentrations is very similar to the one of NO2, with morning enhance- ments coincident with intensiﬁed road trafﬁc. NH3 evening enhancements synchronous with rush hours are also monitored in winter and fall. NH3 concentrations measured during the weekends are consistently lower than NH3 concentrations measured during weekdays in summer and fall. This is further evidence of a signiﬁcant trafﬁc source of NH3 in Paris. Published by Copernicus Publications on behalf of the European Geosciences Union. 15254 C. Viatte et al.: Ammonia in Paris derived from ground-based open-path and satellite observations",". Ammonia (NH3) is an important air pollutant which, as a precursor of ﬁne particulate matter, raises public health concerns. This study analyzes 2.5 years of NH3 observations derived from ground-based (miniDOAS; differential optical absorption spectroscopy) and satellite (IASI; Infrared Atmospheric Sounding Interferometer) remote sensing instruments to quantify, for the ﬁrst time, temporal variabilities (from interan- nual to diurnal) in NH3 concentrations in Paris. The IASI and miniDOAS datasets are found to be in relatively good agreement (R>0.70) when atmo- spheric NH3 concentrations are high and driven by regional agricultural activities. Over the investigated pe- riod (January 2020–June 2022), NH3 average concentrations in Paris measured by the miniDOAS and IASI are 2.23 µg m−3 and 7.10×1015 molec. cm−2, respectively, which are lower than or equivalent to those documented in other urban areas. The seasonal and monthly variabilities in NH3 concentrations in Paris are driven by spo- radic agricultural emissions inﬂuenced by meteorological conditions, with NH3 concentrations in spring up to 2 times higher than in other seasons. The potential source contribution function (PSCF) reveals that the close (100–200 km) east and northeast regions of Paris constitute the most important potential emission source areas of NH3 in the megacity. Weekly cycles of NH3 derived from satellite and ground-based observations show different ammonia sources in Paris. In spring, agriculture has a major inﬂuence on ammonia concentrations, and, in the other seasons, multi-platform observations suggest that ammonia is also controlled by trafﬁc-related emissions. In Paris, the diurnal cycle of NH3 concentrations is very similar to the one of NO2, with morning enhance- ments coincident with intensiﬁed road trafﬁc. NH3 evening enhancements synchronous with rush hours are also monitored in winter and fall. NH3 concentrations measured during the weekends are consistently lower than NH3 concentrations measured during weekdays in summer and fall. This is further evidence of a signiﬁcant trafﬁc source of NH3 in Paris. Published by Copernicus Publications on behalf of the European Geosciences Union. 15254 C. Viatte et al.: Ammonia in Paris derived from ground-based open-path and satellite observations",2023,10.5194/acp-23-15253-2023,rclone_drive,© Author(s) 2023. This work is distributed under the Creative Commons Attribution 4.0 License.,,miniDOAS NH3 concentrations have been measured since January,en,paris; iasi; ammonia; concentrations; minidoas; atmos; observations; satellite; chem; atmospheric; based; phys
a501ac367dc0,"The Journal of Agriculture and Environment Vol:13, Jun.2012 ... .............Technical paper","Climate change is posing a threat on present and future food security in low income countries. But, the actual effect of the climate change on food security is not known. Using secondary data reported by the government, the paper examines the effects of climate change on food security in Nepal in the context of policies of commercialization of farm production. Statistical analysis is used to delineate the situation of food security in the country and regression analysis for exploring the effects of global warming on domestic production of major cereals. The results are discussed at global, national, household and individual levels empirically and qualitatively. The results suggest that a rise in minimum temperature decreases the productivity of rice increasing threat of food insecurity. The paper suggests some policy measures for improving food security situation in the country and open up some areas for further research. Key words: Agriculture, climate-change, commercialization, crop-yield, food-security, Nepal","Climate change is posing a threat on present and future food security in low income countries. But, the actual effect of the climate change on food security is not known. Using secondary data reported by the government, the paper examines the effects of climate change on food security in Nepal in the context of policies of commercialization of farm production. Statistical analysis is used to delineate the situation of food security in the country and regression analysis for exploring the effects of global warming on domestic production of major cereals. The results are discussed at global, national, household and individual levels empirically and qualitatively. The results suggest that a rise in minimum temperature decreases the productivity of rice increasing threat of food insecurity. The paper suggests some policy measures for improving food security situation in the country and open up some areas for further research. Key words: Agriculture, climate-change, commercialization, crop-yield, food-security, Nepal",2012,,rclone_drive,Administrator,Agriculture; climate-change; commercialization; crop-yield; food-security; Nepal,Microsoft Word - The_13th_issue.doc,en,food; change; climate; security; production; level; agriculture; global; temperature; household; country; national
