model,gold,predicted,count
bert-base,PB1,PB6,10
bert-base,PB7,PB6,9
bert-base,PB1,PB3,6
bert-base,PB4,PB2,6
bert-base,PB1,PB2,4
bert-base,PB1,PB9,4
bert-base,PB5,PB1,4
bert-base,PB5,PB6,4
bert-base,PB9,PB8,4
bert-base,PB8,PB2,3
bert-base,PB9,PB3,3
bert-base,PB1,PB8,2
bert-base,PB3,PB6,2
bert-base,PB4,PB1,2
bert-base,PB7,PB1,2
bert-base,PB7,PB2,2
bert-base,PB7,PB8,2
bert-base,PB8,PB1,2
bert-base,PB9,PB6,2
bert-base,PB2,PB1,1
bert-base,PB3,PB1,1
bert-base,PB3,PB9,1
bert-base,PB6,PB2,1
bert-base,PB6,PB5,1
bert-base,PB7,PB3,1
bert-base,PB9,PB1,1
bert-base,PB9,PB2,1
lexical,PB7,PB1,16
lexical,PB4,PB1,10
lexical,PB9,PB1,10
lexical,PB5,PB1,8
lexical,PB3,PB1,6
lexical,PB1,PB9,5
lexical,PB2,PB1,5
lexical,PB6,PB1,5
lexical,PB8,PB1,3
lexical,PB1,PB5,1
lexical,PB3,PB5,1
lexical,PB4,PB2,1
lexical,PB7,PB6,1
lexical,PB7,PB9,1
lexical,PB8,PB9,1
roberta,PB1,PB6,27
roberta,PB7,PB6,17
roberta,PB9,PB6,16
roberta,PB1,PB2,10
roberta,PB5,PB6,9
roberta,PB4,PB2,8
roberta,PB9,PB2,6
roberta,PB8,PB6,5
roberta,PB3,PB2,4
roberta,PB3,PB6,4
roberta,PB4,PB6,4
roberta,PB7,PB2,2
roberta,PB8,PB2,2
roberta,PB1,PB9,1
roberta,PB2,PB3,1
scibert,PB1,PB6,21
scibert,PB9,PB6,12
scibert,PB7,PB6,9
scibert,PB5,PB6,7
scibert,PB4,PB2,5
scibert,PB4,PB6,5
scibert,PB3,PB6,4
scibert,PB1,PB7,3
scibert,PB8,PB2,3
scibert,PB9,PB1,3
scibert,PB1,PB2,2
scibert,PB4,PB1,2
scibert,PB5,PB1,2
scibert,PB1,PB9,1
scibert,PB2,PB1,1
scibert,PB3,PB1,1
scibert,PB6,PB9,1
scibert,PB7,PB1,1
scibert,PB7,PB2,1
scibert,PB7,PB5,1
scibert,PB7,PB8,1
scibert,PB8,PB1,1
scibert,PB9,PB5,1
specter,PB4,PB2,8
specter,PB1,PB3,7
specter,PB1,PB2,6
specter,PB9,PB3,6
specter,PB1,PB6,5
specter,PB7,PB6,5
specter,PB1,PB4,4
specter,PB1,PB5,4
specter,PB1,PB9,4
specter,PB8,PB2,4
specter,PB7,PB2,3
specter,PB9,PB2,3
specter,PB1,PB7,2
specter,PB3,PB4,2
specter,PB5,PB4,2
specter,PB6,PB2,2
specter,PB7,PB1,2
specter,PB2,PB1,1
specter,PB3,PB2,1
specter,PB3,PB7,1
specter,PB3,PB9,1
specter,PB4,PB6,1
specter,PB5,PB3,1
specter,PB5,PB6,1
specter,PB6,PB4,1
specter,PB6,PB5,1
specter,PB7,PB4,1
specter,PB8,PB4,1
specter,PB9,PB4,1
specter,PB9,PB6,1
tfidf,PB1,PB9,9
tfidf,PB1,PB2,5
tfidf,PB5,PB1,4
tfidf,PB4,PB2,3
tfidf,PB7,PB6,3
tfidf,PB1,PB5,2
tfidf,PB1,PB6,2
tfidf,PB4,PB1,2
tfidf,PB7,PB1,2
tfidf,PB7,PB5,2
tfidf,PB8,PB2,2
tfidf,PB1,PB3,1
tfidf,PB1,PB4,1
tfidf,PB1,PB7,1
tfidf,PB1,PB8,1
tfidf,PB2,PB1,1
tfidf,PB2,PB3,1
tfidf,PB3,PB1,1
tfidf,PB3,PB2,1
tfidf,PB3,PB6,1
tfidf,PB3,PB9,1
tfidf,PB4,PB8,1
tfidf,PB5,PB4,1
tfidf,PB5,PB6,1
tfidf,PB5,PB7,1
tfidf,PB6,PB1,1
tfidf,PB6,PB9,1
tfidf,PB7,PB2,1
tfidf,PB7,PB8,1
tfidf,PB7,PB9,1
tfidf,PB8,PB4,1
tfidf,PB8,PB7,1
tfidf,PB8,PB9,1
tfidf,PB9,PB1,1
tfidf,PB9,PB3,1
tfidf,PB9,PB5,1
tfidf,PB9,PB6,1
