model,pb,n_top1,pct_top1,n_multi,pct_multi
lexical,PB1,26607,84.31,7579,24.01
lexical,PB2,771,2.44,1115,3.53
lexical,PB3,599,1.9,735,2.33
lexical,PB4,246,0.78,432,1.37
lexical,PB5,240,0.76,366,1.16
lexical,PB6,619,1.96,800,2.53
lexical,PB7,226,0.72,400,1.27
lexical,PB8,183,0.58,210,0.67
lexical,PB9,2069,6.56,2400,7.6
tfidf,PB1,8363,26.5,5399,17.11
tfidf,PB2,3418,10.83,2463,7.8
tfidf,PB3,2000,6.34,1757,5.57
tfidf,PB4,1634,5.18,1369,4.34
tfidf,PB5,2871,9.1,1914,6.06
tfidf,PB6,3466,10.98,3187,10.1
tfidf,PB7,2564,8.12,2006,6.36
tfidf,PB8,2691,8.53,1049,3.32
tfidf,PB9,4553,14.43,4061,12.87
bert-base,PB1,10025,31.76,14039,44.48
bert-base,PB2,4643,14.71,6738,21.35
bert-base,PB3,2340,7.41,4060,12.86
bert-base,PB4,689,2.18,1733,5.49
bert-base,PB5,512,1.62,1364,4.32
bert-base,PB6,5798,18.37,10892,34.51
bert-base,PB7,628,1.99,1403,4.45
bert-base,PB8,4625,14.65,6489,20.56
bert-base,PB9,2300,7.29,3874,12.28
roberta,PB1,214,0.68,214,0.68
roberta,PB2,6582,20.86,6582,20.86
roberta,PB3,61,0.19,61,0.19
roberta,PB4,10,0.03,10,0.03
roberta,PB5,0,0.0,0,0.0
roberta,PB6,24278,76.93,24278,76.93
roberta,PB7,13,0.04,13,0.04
roberta,PB8,143,0.45,143,0.45
roberta,PB9,259,0.82,259,0.82
scibert,PB1,10263,32.52,19331,61.25
scibert,PB2,2636,8.35,5977,18.94
scibert,PB3,402,1.27,2637,8.36
scibert,PB4,88,0.28,722,2.29
scibert,PB5,146,0.46,1729,5.48
scibert,PB6,14157,44.86,23691,75.07
scibert,PB7,1118,3.54,5963,18.89
scibert,PB8,1242,3.94,3465,10.98
scibert,PB9,1508,4.78,4345,13.77
specter,PB1,8109,25.69,7032,22.28
specter,PB2,6196,19.63,6056,19.19
specter,PB3,2690,8.52,3317,10.51
specter,PB4,1720,5.45,2416,7.66
specter,PB5,1709,5.42,2608,8.26
specter,PB6,5382,17.05,7070,22.4
specter,PB7,1542,4.89,2916,9.24
specter,PB8,773,2.45,335,1.06
specter,PB9,3439,10.9,4596,14.56
