doc_id,gold_1st,gold_2nd,gold_3rd,lexical_rank_1st,lexical_rank_2nd,lexical_rank_3rd,lexical_score,lexical_score_norm,tfidf_rank_1st,tfidf_rank_2nd,tfidf_rank_3rd,tfidf_score,tfidf_score_norm,bert-base_rank_1st,bert-base_rank_2nd,bert-base_rank_3rd,bert-base_score,bert-base_score_norm,roberta_rank_1st,roberta_rank_2nd,roberta_rank_3rd,roberta_score,roberta_score_norm,scibert_rank_1st,scibert_rank_2nd,scibert_rank_3rd,scibert_score,scibert_score_norm,specter_rank_1st,specter_rank_2nd,specter_rank_3rd,specter_score,specter_score_norm
00050f80240e,PB4,,,4,,,0.75,0.25,1,,,3.0,1.0,1,,,3.0,1.0,3,,,1.0,0.333,3,,,1.0,0.333,1,,,3.0,1.0
01a70dbf979d,PB7,PB1,,7,1,,2.429,0.607,1,2,,4.0,1.0,3,2,,2.0,0.5,4,3,,1.417,0.354,1,3,,3.667,0.917,1,5,,3.4,0.85
03c55a425a95,PB1,,,1,,,3.0,1.0,1,,,3.0,1.0,1,,,3.0,1.0,6,,,0.5,0.167,1,,,3.0,1.0,2,,,1.5,0.5
0672168600bf,PB9,PB1,,2,1,,3.5,0.875,1,3,,3.667,0.917,1,5,,3.4,0.85,4,8,,1.0,0.25,2,3,,2.167,0.542,2,4,,2.0,0.5
074d00932720,PB3,,,3,,,1.0,0.333,4,,,0.75,0.25,1,,,3.0,1.0,3,,,1.0,0.333,2,,,1.5,0.5,1,,,3.0,1.0
08f457a29ab7,PB9,,,1,,,3.0,1.0,1,,,3.0,1.0,5,,,0.6,0.2,3,,,1.0,0.333,3,,,1.0,0.333,3,,,1.0,0.333
0f84341d7e44,PB7,,,7,,,0.429,0.143,1,,,3.0,1.0,1,,,3.0,1.0,2,,,1.5,0.5,1,,,3.0,1.0,1,,,3.0,1.0
11e601dd40d6,PB1,,,1,,,3.0,1.0,1,,,3.0,1.0,2,,,1.5,0.5,3,,,1.0,0.333,2,,,1.5,0.5,1,,,3.0,1.0
21ecc353ac74,PB7,,,2,,,1.5,0.5,1,,,3.0,1.0,3,,,1.0,0.333,3,,,1.0,0.333,3,,,1.0,0.333,1,,,3.0,1.0
23aa02497362,PB2,,,1,,,3.0,1.0,1,,,3.0,1.0,1,,,3.0,1.0,1,,,3.0,1.0,1,,,3.0,1.0,1,,,3.0,1.0
260cc6707374,PB9,PB6,,9,6,,0.667,0.167,1,6,,3.333,0.833,2,6,,1.833,0.458,3,1,,3.0,0.75,1,2,,4.0,1.0,4,8,,1.0,0.25
2cca03b7a82b,PB1,PB5,,1,5,,3.4,0.85,1,2,,4.0,1.0,1,3,,3.667,0.917,7,9,,0.651,0.163,2,3,,2.167,0.542,2,1,,3.5,0.875
2ea3de6be731,PB4,,,4,,,0.75,0.25,1,,,3.0,1.0,3,,,1.0,0.333,4,,,0.75,0.25,3,,,1.0,0.333,2,,,1.5,0.5
3159c4d063f0,PB1,PB4,,1,4,,3.5,0.875,2,1,,3.5,0.875,3,4,,1.5,0.375,8,3,,1.042,0.26,2,6,,1.833,0.458,5,3,,1.267,0.317
35031d18c0c9,PB4,,,4,,,0.75,0.25,4,,,0.75,0.25,6,,,0.5,0.167,4,,,0.75,0.25,7,,,0.429,0.143,3,,,1.0,0.333
362e76793312,PB1,PB7,,1,7,,3.286,0.821,6,9,,0.722,0.181,1,4,,3.5,0.875,6,4,,1.0,0.25,2,1,,3.5,0.875,1,4,,3.5,0.875
3bbd6f08b6ac,PB5,PB1,,5,1,,2.6,0.65,1,2,,4.0,1.0,5,1,,2.6,0.65,7,2,,1.429,0.357,5,1,,2.6,0.65,1,2,,4.0,1.0
3c0c667b5363,PB4,,,4,,,0.75,0.25,8,,,0.375,0.125,2,,,1.5,0.5,3,,,1.0,0.333,8,,,0.375,0.125,3,,,1.0,0.333
