model,doc_id,pts_principal,pts_2nd,pts_3rd,pts_penalty,score_raw,score_max,score_norm
lexical,00050f80240e,0.0,0.0,0.0,-0.0,0.0,3.0,0.0
tfidf,00050f80240e,3.0,0.0,0.0,-0.25,2.75,3.0,0.9166666666666666
bert-base,00050f80240e,3.0,0.0,0.0,-0.0,3.0,3.0,1.0
roberta,00050f80240e,0.0,0.0,0.0,-0.25,-0.25,3.0,-0.08333333333333333
scibert,00050f80240e,0.0,0.0,0.0,-0.5,-0.5,3.0,-0.16666666666666666
specter,00050f80240e,3.0,0.0,0.0,-0.0,3.0,3.0,1.0
lexical,01a70dbf979d,0.0,1.0,0.0,-0.0,1.0,4.0,0.25
tfidf,01a70dbf979d,3.0,0.0,0.0,-0.0,3.0,4.0,0.75
bert-base,01a70dbf979d,0.0,0.0,0.0,-0.25,-0.25,4.0,-0.0625
roberta,01a70dbf979d,0.0,0.0,0.0,-0.25,-0.25,4.0,-0.0625
scibert,01a70dbf979d,3.0,1.0,0.0,-0.25,3.75,4.0,0.9375
specter,01a70dbf979d,3.0,0.0,0.0,-0.0,3.0,4.0,0.75
lexical,03c55a425a95,3.0,0.0,0.0,-0.0,3.0,3.0,1.0
tfidf,03c55a425a95,3.0,0.0,0.0,-0.0,3.0,3.0,1.0
bert-base,03c55a425a95,3.0,0.0,0.0,-0.25,2.75,3.0,0.9166666666666666
roberta,03c55a425a95,0.0,0.0,0.0,-0.25,-0.25,3.0,-0.08333333333333333
scibert,03c55a425a95,3.0,0.0,0.0,-0.25,2.75,3.0,0.9166666666666666
specter,03c55a425a95,1.5,0.0,0.0,-0.25,1.25,3.0,0.4166666666666667
lexical,0672168600bf,1.5,1.0,0.0,-0.0,2.5,4.0,0.625
tfidf,0672168600bf,3.0,0.0,0.0,-0.0,3.0,4.0,0.75
bert-base,0672168600bf,3.0,0.0,0.0,-0.75,2.25,4.0,0.5625
roberta,0672168600bf,0.0,0.0,0.0,-0.25,-0.25,4.0,-0.0625
scibert,0672168600bf,1.5,1.0,0.0,-0.25,2.25,4.0,0.5625
specter,0672168600bf,1.5,0.0,0.0,-0.0,1.5,4.0,0.375
lexical,074d00932720,0.0,0.0,0.0,-0.0,0.0,3.0,0.0
tfidf,074d00932720,0.0,0.0,0.0,-0.75,-0.75,3.0,-0.25
bert-base,074d00932720,3.0,0.0,0.0,-0.0,3.0,3.0,1.0
roberta,074d00932720,0.0,0.0,0.0,-0.25,-0.25,3.0,-0.08333333333333333
scibert,074d00932720,1.5,0.0,0.0,-0.75,0.75,3.0,0.25
specter,074d00932720,3.0,0.0,0.0,-0.0,3.0,3.0,1.0
lexical,08f457a29ab7,3.0,0.0,0.0,-0.0,3.0,3.0,1.0
tfidf,08f457a29ab7,3.0,0.0,0.0,-0.0,3.0,3.0,1.0
bert-base,08f457a29ab7,0.0,0.0,0.0,-0.5,-0.5,3.0,-0.16666666666666666
roberta,08f457a29ab7,0.0,0.0,0.0,-0.25,-0.25,3.0,-0.08333333333333333
