term,count
climate change,13774
ocean acidification,2054
land cover,1815
united states,1768
air quality,1650
boundary layer,1364
sustainable development,1337
remote sensing,1244
global warming,1228
organic matter,1181
earth system,1151
global climate,1118
biomass burning,1098
organic carbon,1064
ecosystem services,1032
aerosol optical,1003
surface temperature,984
land surface,977
greenhouse gas,951
regional climate,897
water quality,887
carbon dioxide,853
life cycle,825
north atlantic,784
water resources,781
land change,781
air pollution,774
spatial temporal,768
optical depth,767
soil moisture,757
state art,697
radiative forcing,688
rights reserved,684
stratospheric ozone,680
impacts climate,674
wind speed,673
water vapor,650
water column,632
human health,631
near surface,628
role design,620
air temperature,618
primary production,612
solar radiation,605
food security,605
design collection,601
decision publish,594
preparation manuscript,593
collection decision,592
socio economic,589
