model,mode,micro_f1,macro_f1,jaccard_samples,exact_match_ratio,avg_true_labels,avg_pred_labels,abs_cardinality_error,lrap,tau,delta
baseline_lexical,top1,0.4,0.2287662954329621,0.3150684931506849,0.1232876712328767,1.9452054794520548,1.0,0.9452054794520548,0.4059829059829057,,
baseline_lexical,top2,0.4166666666666667,0.25141113653699465,0.2933789954337899,0.0547945205479452,1.9452054794520548,2.0,0.0547945205479452,0.4059829059829057,,
baseline_lexical,threshold_delta,0.410958904109589,0.2540124000078234,0.32305936073059366,0.136986301369863,1.9452054794520548,1.0547945205479452,0.8904109589041096,0.4059829059829057,0.2,0.0
baseline_semantic_tfidf,top1,0.33488372093023255,0.3141768728284036,0.2579908675799087,0.0958904109589041,1.9452054794520548,1.0,0.9452054794520548,0.5784676434676435,,
baseline_semantic_tfidf,top2,0.3819444444444444,0.3198780898218311,0.27168949771689493,0.0547945205479452,1.9452054794520548,2.0,0.0547945205479452,0.5784676434676435,,
baseline_semantic_tfidf,threshold_delta,0.33488372093023255,0.3141768728284036,0.2579908675799087,0.0958904109589041,1.9452054794520548,1.0,0.9452054794520548,0.5784676434676435,0.2,0.0
backbone_bert_base_uncased,top1,0.30697674418604654,0.26536523241710125,0.23515981735159813,0.0821917808219178,1.9452054794520548,1.0,0.9452054794520548,0.5829700854700856,,
backbone_bert_base_uncased,top2,0.3888888888888889,0.3234884383520906,0.26986301369863014,0.0410958904109589,1.9452054794520548,2.0,0.0547945205479452,0.5829700854700856,,
backbone_bert_base_uncased,threshold_delta,0.3803680981595092,0.3178986789240873,0.2728147423352903,0.0547945205479452,1.9452054794520548,2.5205479452054793,0.5753424657534245,0.5829700854700856,0.75,0.02
backbone_roberta_base,top1,0.10232558139534884,0.06772486772486772,0.057077625570776246,0.0,1.9452054794520548,1.0,0.9452054794520548,0.3885531135531134,,
backbone_roberta_base,top2,0.19444444444444445,0.13622986659709824,0.11415525114155249,0.0,1.9452054794520548,2.0,0.0547945205479452,0.3885531135531134,,
backbone_roberta_base,threshold_delta,0.10232558139534884,0.06772486772486772,0.057077625570776246,0.0,1.9452054794520548,1.0,0.9452054794520548,0.3885531135531134,0.2,0.0
backbone_allenai_scibert_scivocab_uncased,top1,0.30697674418604654,0.25551152334778066,0.23059360730593606,0.0821917808219178,1.9452054794520548,1.0,0.9452054794520548,0.605709706959707,,
backbone_allenai_scibert_scivocab_uncased,top2,0.3888888888888889,0.30839816311772533,0.2819634703196347,0.0547945205479452,1.9452054794520548,2.0,0.0547945205479452,0.605709706959707,,
backbone_allenai_scibert_scivocab_uncased,threshold_delta,0.40441176470588236,0.30872643030079105,0.2923679060665362,0.0821917808219178,1.9452054794520548,1.7808219178082192,0.1643835616438356,0.605709706959707,0.2,0.01
