model,mode,micro_f1,macro_f1,jaccard_samples,exact_match_ratio,avg_true_labels,avg_pred_labels,abs_cardinality_error,lrap,tau,delta
baseline_lexical,top1,0.40569395017793597,0.34323334892955143,0.30333333333333334,0.22666666666666666,0.8733333333333333,1.0,0.1266666666666667,0.4826038159371495,,
baseline_lexical,top2,0.33410672853828305,0.34274888945477183,0.2211111111111111,0.05333333333333334,0.8733333333333333,2.0,1.1266666666666667,0.4826038159371495,,
baseline_lexical,threshold_delta,0.48514851485148514,0.40216303156873406,0.25,0.47333333333333333,0.8733333333333333,0.47333333333333333,0.39999999999999997,0.4826038159371495,0.2,0.0
baseline_semantic_tfidf,top1,0.48398576512455516,0.4389723054518301,0.36666666666666664,0.28,0.8733333333333333,1.0,0.1266666666666667,0.7301907968574637,,
baseline_semantic_tfidf,top2,0.43155452436194897,0.39788928196939494,0.28777777777777774,0.06666666666666667,0.8733333333333333,2.0,1.1266666666666667,0.7301907968574637,,
baseline_semantic_tfidf,threshold_delta,0.029850746268656716,0.05396825396825397,0.01,0.34,0.8733333333333333,0.02,0.8533333333333333,0.7301907968574637,0.2,0.0
backbone_bert_base_uncased,top1,0.3487544483985765,0.34053374565765426,0.26,0.19333333333333333,0.8733333333333333,1.0,0.1266666666666667,0.6381253006253009,,
backbone_bert_base_uncased,top2,0.35266821345707655,0.34510172923282884,0.22444444444444442,0.02666666666666667,0.8733333333333333,2.0,1.1266666666666667,0.6381253006253009,,
backbone_bert_base_uncased,threshold_delta,0.3507853403141361,0.35168422548723505,0.25473015873015875,0.14666666666666667,0.8733333333333333,1.6733333333333333,0.8,0.6381253006253009,0.75,0.01
backbone_allenai_scibert_scivocab_uncased,top1,0.298932384341637,0.30543772179737094,0.22333333333333333,0.16666666666666666,0.8733333333333333,1.0,0.1266666666666667,0.6168991502324838,,
backbone_allenai_scibert_scivocab_uncased,top2,0.3480278422273782,0.37304192664019664,0.22666666666666666,0.05333333333333334,0.8733333333333333,2.0,1.1266666666666667,0.6168991502324838,,
backbone_allenai_scibert_scivocab_uncased,threshold_delta,0.33970276008492567,0.3539268978546584,0.20990476190476193,0.08666666666666667,0.8733333333333333,2.2666666666666666,1.3933333333333333,0.6168991502324838,0.75,0.02
backbone_roberta_base,top1,0.099644128113879,0.05264693264693265,0.06666666666666667,0.04,0.8733333333333333,1.0,0.1266666666666667,0.36077641494308166,,
backbone_roberta_base,top2,0.12529002320185614,0.13006456867885285,0.07777777777777778,0.006666666666666667,0.8733333333333333,2.0,1.1266666666666667,0.36077641494308166,,
backbone_roberta_base,threshold_delta,0.099644128113879,0.05264693264693265,0.06666666666666667,0.04,0.8733333333333333,1.0,0.1266666666666667,0.36077641494308166,0.2,0.0
backbone_allenai_specter,top1,0.3416370106761566,0.36679285531281347,0.27,0.22,0.8733333333333333,1.0,0.1266666666666667,0.6475388808722143,,
backbone_allenai_specter,top2,0.35730858468677495,0.3394736309709673,0.2322222222222222,0.03333333333333333,0.8733333333333333,2.0,1.1266666666666667,0.6475388808722143,,
backbone_allenai_specter,threshold_delta,0.40514469453376206,0.3993112972237651,0.27688888888888885,0.31333333333333335,0.8733333333333333,1.2,0.32666666666666666,0.6475388808722143,0.75,0.02
