doc_id;1stpb;2ndpb;3rdpb;title
958e8ae09926;1;;;Warming Alters Expressions of Microbial Functional Genes Important to Ecosystem Functioning.pdf
d84d0ce7a4c8;2;;;Effects of ocean acidification on the immune response of the blue mussel Mytilus edulis.pdf
7d15d84ce20e;3;;;Exposure to ultraviolet radiation delays photosynthetic recovery in Arctic kelp zoospores.pdf
730088fdf1e2;4;;;A round-trip ticket_ the importance of release processes for in-stream nutrient spiraling.pdf
3bbd6f08b6ac;5;1.0;;Systems Approach to Management of Water Resources—Toward Performance Based Water Resources Engineering.pdf
78dc23f39924;7;;;Revisiting Biodiversity and Ecosystem Functioning through the Lens of Complex Adaptive Systems.pdf
bdf5eac988ad;8;;;A circular economy approach to plastic waste.pdf
56c7d6d62d7c;9;1.0;;Dust Aerosol Characteristics and Shortwave Radiative Impact at a Gobi Desert of Northwest China during the Spring of 2012.pdf
e9722863b198;None;;;Impacts of Mainstream Hydropower Dams on Fisheries and Agriculture in Lower Mekong Basin.pdf
437469852fd9;None;;;Data, Models and Earth History in Deep Convolution_ Paleoclimate Simulations and their Epistemological Unrest.pdf
